タイトル,プラットフォーム,配信開始日時,制作会社,URL
よわよわ先生,DMM TV,2026-04-11 00:00,ブレインズ・ベース,https://www.yowayowasensei-anime.com/
よわよわ先生,アニメタイムズ,2026-04-15 12:00,ブレインズ・ベース,https://www.yowayowasensei-anime.com/
彼女、お借りします 第5期,DMM TV,2026-04-08 10:00,トムス・エンタテインメント,https://kanokari-official.com/
彼女、お借りします 第5期,dアニメストア,2026-04-08 10:00,トムス・エンタテインメント,https://kanokari-official.com/
彼女、お借りします 第5期,ABEMA,2026-04-11 02:23,トムス・エンタテインメント,https://kanokari-official.com/
彼女、お借りします 第5期,U-NEXT,2026-04-11 02:23,トムス・エンタテインメント,https://kanokari-official.com/
彼女、お借りします 第5期,アニメ放題,2026-04-14 02:23,トムス・エンタテインメント,https://kanokari-official.com/
姫騎士は蛮族の嫁,dアニメストア,2026-03-31 22:30,寿門堂,https://himekishi-anime.com/
姫騎士は蛮族の嫁,U-NEXT,2026-03-31 22:30,寿門堂,https://himekishi-anime.com/
姫騎士は蛮族の嫁,ABEMA,2026-04-09 22:30,寿門堂,https://himekishi-anime.com/
黄泉のツガイ,ABEMA,2026-03-31 00:00,ボンズフィルム,https://yominotsugai.com/
黄泉のツガイ,dアニメストア,2026-03-31 00:00,ボンズフィルム,https://yominotsugai.com/
黄泉のツガイ,Prime Video,2026-03-31 00:00,ボンズフィルム,https://yominotsugai.com/
黄泉のツガイ,U-NEXT,2026-03-31 00:00,ボンズフィルム,https://yominotsugai.com/
黄泉のツガイ,アニメ放題,2026-03-31 00:00,ボンズフィルム,https://yominotsugai.com/
黄泉のツガイ,DMM TV,2026-03-31 00:00,ボンズフィルム,https://yominotsugai.com/
黄泉のツガイ,Hulu,2026-03-31 00:00,ボンズフィルム,https://yominotsugai.com/
黄泉のツガイ,FOD,2026-03-31 00:00,ボンズフィルム,https://yominotsugai.com/
黄泉のツガイ,Lemino,2026-03-31 00:00,ボンズフィルム,https://yominotsugai.com/
黄泉のツガイ,Netflix,2026-03-31 00:00,ボンズフィルム,https://yominotsugai.com/
黄泉のツガイ,AnimeFesta,2026-03-31 00:00,ボンズフィルム,https://yominotsugai.com/
クジマ歌えば家ほろろ,アニメ放題,2026-04-09 12:00,スタジオ雲雀,https://kujima-anime.com/
クジマ歌えば家ほろろ,U-NEXT,2026-04-09 16:30,スタジオ雲雀,https://kujima-anime.com/
キャンディーカリエス,ABEMA,2026-03-31 01:00,TORUKU from WIT STUDIO,https://www.candycaries.com/
キャンディーカリエス,DMM TV,2026-03-31 01:00,TORUKU from WIT STUDIO,https://www.candycaries.com/
キャンディーカリエス,dアニメストア,2026-03-31 01:00,TORUKU from WIT STUDIO,https://www.candycaries.com/
MAO,Hulu,2026-04-05 00:00,サンライズ,https://www.anime-mao.com/
MAO,アニメ放題,2026-04-05 00:00,サンライズ,https://www.anime-mao.com/
MAO,ABEMA,2026-04-05 00:00,サンライズ,https://www.anime-mao.com/
MAO,U-NEXT,2026-04-05 23:45,サンライズ,https://www.anime-mao.com/
MAO,FOD,2026-04-10 00:00,サンライズ,https://www.anime-mao.com/
MAO,バンダイチャンネル,2026-04-10 00:00,サンライズ,https://www.anime-mao.com/
MAO,Prime Video,2026-04-10 00:00,サンライズ,https://www.anime-mao.com/
MAO,Netflix,2026-04-10 00:00,サンライズ,https://www.anime-mao.com/
MAO,dアニメストア,2026-08-20 00:00,サンライズ,https://www.anime-mao.com/
MAO,DMM TV,2026-08-20 00:00,サンライズ,https://www.anime-mao.com/
魔入りました！入間くん 第4シリーズ,dアニメストア,2026-04-06 18:00,BN Pictures,https://www.nhk-character.com/chara/iruma/
魔入りました！入間くん 第4シリーズ,ABEMA,2026-04-06 19:00,BN Pictures,https://www.nhk-character.com/chara/iruma/
魔入りました！入間くん 第4シリーズ,DMM TV,2026-04-06 19:00,BN Pictures,https://www.nhk-character.com/chara/iruma/
魔法の姉妹ルルットリリィ,アニメ放題,2026-04-05 23:00,スタジオぴえろ,https://www.luluttolilly.com/
魔法の姉妹ルルットリリィ,ABEMA,2026-04-05 23:00,スタジオぴえろ,https://www.luluttolilly.com/
魔法の姉妹ルルットリリィ,FOD,2026-04-05 23:00,スタジオぴえろ,https://www.luluttolilly.com/
魔法の姉妹ルルットリリィ,バンダイチャンネル,2026-04-05 23:00,スタジオぴえろ,https://www.luluttolilly.com/
魔法の姉妹ルルットリリィ,Prime Video,2026-04-05 23:00,スタジオぴえろ,https://www.luluttolilly.com/
魔法の姉妹ルルットリリィ,U-NEXT,2026-04-05 23:00,スタジオぴえろ,https://www.luluttolilly.com/
淡島百景,dアニメストア,2026-04-09 00:00,マッドハウス,https://awajima-anime.com/
淡島百景,ABEMA,2026-04-09 02:15,マッドハウス,https://awajima-anime.com/
淡島百景,U-NEXT,2026-04-14 02:15,マッドハウス,https://awajima-anime.com/
リラックマ ～ごゆるり夢の旅～,ABEMA,2026-04-04 09:30,Production I.G,https://rilakkuma-anime.com/
リラックマ ～ごゆるり夢の旅～,Prime Video,2026-04-04 09:30,Production I.G,https://rilakkuma-anime.com/
リラックマ ～ごゆるり夢の旅～,DMM TV,2026-04-04 09:30,Production I.G,https://rilakkuma-anime.com/
リラックマ ～ごゆるり夢の旅～,dアニメストア,2026-04-04 09:30,Production I.G,https://rilakkuma-anime.com/
リラックマ ～ごゆるり夢の旅～,dアニメストア for Prime Video,2026-04-04 09:30,Production I.G,https://rilakkuma-anime.com/
リラックマ ～ごゆるり夢の旅～,バンダイチャンネル,2026-04-04 09:30,Production I.G,https://rilakkuma-anime.com/
女神「異世界転生何になりたいですか」俺「勇者の肋骨で」,Hulu,2026-03-31 00:00,Qzil.la,https://rokkotsu-anime.com/
女神「異世界転生何になりたいですか」俺「勇者の肋骨で」,dアニメストア,2026-04-07 15:00,Qzil.la,https://rokkotsu-anime.com/
女神「異世界転生何になりたいですか」俺「勇者の肋骨で」,ABEMA,2026-04-07 15:00,Qzil.la,https://rokkotsu-anime.com/
女神「異世界転生何になりたいですか」俺「勇者の肋骨で」,DMM TV,2026-04-12 00:00,Qzil.la,https://rokkotsu-anime.com/
